title,text,repo,category,requirement,status,techs,notes,comments,favorites
FAQ accordion,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/FAQ-accordion,Frontend,Junior,Done,"HTML,CSS,Javascript",,,
Article preview component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Article-preview-component,Frontend,Junior,Done,"HTML,CSS",,,
Testimonials grid section,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Testimonials-grid-section,Frontend,Mid-level,Done,"HTML,CSS",,,
Fylo data storage component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Fylo-data-storage-component,Frontend,Junior,Done,"HTML,CSS",,,
Expenses chart component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Expenses-chart-component,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Newsletter sign-up form with success message,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Newsletter-sign-up-form-with-success-message,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Intro section with dropdown navigation,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Intro-section-with-dropdown-navigation,Frontend,Junior,Done,"HTML,CSS,Javascript",,,
Interactive pricing component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Interactive-pricing-component,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Coding bootcamp testimonials slider,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Coding-bootcamp-testimonials-slider,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Age calculator app,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Age-calculator-app,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
News homepage,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/News-homepage,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Contact form,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Contact-form,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Notifications page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Notifications-page,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Time tracking dashboard,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Time-tracking-dashboard,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Interactive card details form,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Interactive-card-details-form,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Pricing component with toggle,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Pricing-component-with-toggle,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Advice generator app,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Advice-generator-app,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Tip calculator app,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Tip-calculator-app,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Project tracking intro component,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Project-tracking-intro-component,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Social media dashboard with theme switcher,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Social-media-dashboard-with-theme-switcher,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Clipboard landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Clipboard-landing-page,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Blogr landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Blogr-landing-page,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Insure landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Insure-landing-page,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Loopstudios landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Loopstudios-landing-page,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
Crowdfunding product page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Crowdfunding-product-page,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
A-simple-Flask-Full-Stack-Blog,A-simple-Flask-Full-Stack-Blog,https://github.com/ajkun55/A-simple-Flask-Full-Stack-Blog,Fullstack,Mid-level,Done,Flask,,,
Fylo landing page with two column layout,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Fylo-landing-page-with-two-column-layout,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Fylo dark theme landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Fylo-dark-theme-landing-page,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
Huddle landing page with alternating feature blocks,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Huddle-landing-page-with-alternating-feature-blocks,Frontend,Mid-level,Done,"HTML,CSS,Javascript",,,
php-assignments-for-WA4E-Web-Applications-for-Everybody,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/php-assignments-for-WA4E-Web-Applications-for-Everybody-courseE,Fullstack,Advanced,Done,php,,,
Huddle landing page with curved sections,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Huddle-landing-page-with-curved-sections,Frontend,Mid-level,Done,"HTML,CSS,jQuery",,,
freeCodeCamp material,freeCodeCamp learning material,https://github.com/ajkun55/freeCodeCamp,Fullstack,Mid-level,Done,"HTML,CSS,Javascript",,,
My-React-learning-projects-materials-resources,"I learned React from these projects, they are efficient to improve your skills in React.",https://github.com/ajkun55/My-React-learning-projects-materials-resources,Frontend,Mid-level,Done,React,,,
Room homepage,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Room-homepage,Frontend,Mid-level,Done,React,,,
A-Gym-Website-using-React,A-Gym-Website-using-React,https://github.com/ajkun55/A-Gym-Website-using-React,Frontend,Mid-level,Done,React,,,
E-commerce product page,One of my Frontend Mentor challenge projects.,,Frontend,Advanced,Done,React,,,
Job listings with filtering,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Job-listings-with-filtering-using-React,Frontend,Advanced,Done,React,,,
IP address tracker,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/IP-Address-Tracker-using-React,Frontend,Advanced,Done,"React,leaflet",,,
Chat app CSS illustration,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Chat-app-CSS-illustration-using-React,Frontend,Mid-level,Done,React,,,
Todo app,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Todo-app-Frontend-Mentor-Challenge-using-React,Frontend,Advanced,Done,"React,Framer-motion",,,
Easybank landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Easybank-landing-page,Frontend,Mid-level,Done,React,,,
Interactive comments section,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Interactive-comments-section-using-React,Frontend,Mid-level,Done,React,,,
Launch countdown timer,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Launch-countdown-timer,Frontend,Mid-level,Done,React,,,
Manage landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Manage-landing-page,Frontend,Advanced,Done,React,,,
Shortly URL shortening API Challenge,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/URL-shortening-API-landing-page,Frontend,Advanced,Done,"React,Tailwind-css",,,
Bookmark landing page,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Bookmark-landing-page,Frontend,Advanced,Done,"React,Tailwind-css",,,
Calculator app,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Calculator-app,Frontend,Advanced,Done,"React,Tailwind-css",,,
NextJS-Image-Gallery,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/NextJS-Image-Gallery,Frontend,Advanced,Done,"NextJS,Tailwind-css",,,
Mortgage repayment calculator,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Mortgage-repayment-calculator,Frontend,Advanced,Done,"NextJS,Tailwind-css",,,
Product list with cart,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Product-list-with-cart-with-NextJS-Typescript-TailwindCSS,Frontend,Advanced,Done,"NextJS,Tailwind-css,Typescript",,,
Multi-step form,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Multi-step-form-using-NextJS-TailwindCSS,Frontend,Advanced,Done,"NextJS,Tailwind-css",,,
Express-Mysql-blog,Express-Mysql-blog,https://github.com/ajkun55/Express-Mysql-blog,Fullstack,Mid-level,Done,"Express,Mysql",,,
"Rock, Paper, Scissors",One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Rock-Paper-Scissors-game-in-NextJS-Tailwindcss,Frontend,Advanced,Done,"NextJS,Tailwind-css",,,
REST Countries API with color theme switcher,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/REST-Countries-API-with-color-theme-switcher,Frontend,Advanced,Done,"NextJS,Tailwind-css",,,
Bento-grid,One of my Frontend Mentor challenge projects.,https://github.com/ajkun55/Bento-grid,Frontend,Mid-level,Done,"HTML,Tailwind-css",,,
Personal-Blog-Site,Personal-Blog-Site,https://github.com/ajkun55/Personal-Blog-Site,Fullstack,Advanced,Done,"NextJS,Tailwind-css,Mongoose",,,
Task-Tracker-CLI,"A simple command line interface (CLI) to track what you need to do, what you have done, and what you are currently working on.?",https://github.com/ajkun55/Task-Tracker-CLI,Backend,Junior,Done,Nodejs,,,
Expense-Tracker-CLI,,https://github.com/ajkun55/Expense-Tracker-CLI,Backend,Junior,Done,Nodejs,,,
Number-Guessing-Game,Number-Guessing-Game,https://github.com/ajkun55/Number-Guessing-Game,Backend,Junior,Done,Nodejs,,,
Github-Profile-devChallenges,Github-Profile-devChallenges,https://github.com/ajkun55/Github-Profile-devChallenges,Frontend,Mid-level,Done,"React,Tailwind-css",,,
Simple-Coffee-Listing,Simple-Coffee-Listing,https://github.com/ajkun55/Simple-Coffee-Listing,Frontend,Mid-level,Done,"React,Tailwind-css",,,
Country-Quiz-App,Country-Quiz-App,https://github.com/ajkun55/Country-Quiz-App,Frontend,Advanced,Done,"React,Tailwind-css",,,
Caching-Proxy,Build a caching server that caches responses from other servers.,https://github.com/ajkun55/Caching-Proxy,Backend,Mid-level,Done,Nodejs,,,
Workout-Tracker,"This project involves creating a backend system for a workout tracker application where users can sign up, log in, create workout plans, and track their progress. The system will feature JWT authentication, CRUD operations for workouts, and generate reports on past workouts.",https://github.com/ajkun55/Workout-Tracker,Backend,Mid-level,Done,Nodejs,,,
Note-App,Note-App,https://github.com/ajkun55/Note-App,Fullstack,Advanced,Done,"NextJS,Tailwind-css,Mongoose,server-action,next-auth",,,
